company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,total_funding,product_url,indeed_url,growth_percentage
ASAPP,asapp.com,New York,NY,United States,435,http://www.linkedin.com/company/asappco,2014,AI,232,81254600,19,"B2B, saas",,,B2B,1600000000,$380M,380000000,https://www.growjo.com/company/ASAPP,https://www.indeed.com/jobs?q=company%3A(ASAPP),0.13
Wayve,wayve.ai,London,,UK,188,http://www.linkedin.com/company/wayve-technologies,2017,AI,53,30954000,1,,,,,,,,https://www.growjo.com/company/Wayve,https://www.indeed.com/jobs?q=company%3A(Wayve),0.52
RadAI,radai.com,Berkeley,CA,United States,81,http://www.linkedin.com/company/radai,2018,AI,34,12180000,1,,,,,,,,https://www.growjo.com/company/RadAI,https://www.indeed.com/jobs?q=company%3A(RadAI),0.5
Arena.im,arena.im,Sunnyvale,CA,United States,72,http://www.linkedin.com/company/arenaim,2017,AI,156,10640000,1,,,,,,$5.1M,5100000,https://www.growjo.com/company/Arena.im,https://www.indeed.com/jobs?q=company%3A(Arena.im),0.47
Oxbotica,oxbotica.com,Oxford,,UK,284,http://www.linkedin.com/company/oxbotica,2014,AI,399,44849000,10,,,,,,$89.5M,89500000,https://www.growjo.com/company/Oxbotica,https://www.indeed.com/jobs?q=company%3A(Oxbotica),0.44
Amira Learning,amiralearning.com,San Francisco,CA,United States,67,http://www.linkedin.com/company/amira-learning,,AI,284,9072000,1,,,,,,,,https://www.growjo.com/company/Amira_Learning,https://www.indeed.com/jobs?q=company%3A(Amira Learning),0.46
snappt,snappt.com,Los Angeles,CA,United States,50,http://www.linkedin.com/company/snapptinc,2016,AI,87,6804000,1,,,,,,,,https://www.growjo.com/company/snappt,https://www.indeed.com/jobs?q=company%3A(snappt),1.38
Civic Eagle,civiceagle.com,Minneapolis,MN,United States,48,http://www.linkedin.com/company/civic-eagle,2015,AI,18,6426000,1,,,,,,,,https://www.growjo.com/company/Civic_Eagle,https://www.indeed.com/jobs?q=company%3A(Civic Eagle),1.09
Concentric,concentric.ai,San Jose,CA,United States,50,http://www.linkedin.com/company/concentricinc,2018,AI,162,6804000,1,,,,,,,,https://www.growjo.com/company/Concentric,https://www.indeed.com/jobs?q=company%3A(Concentric),1.08
Zippin,getzippin.com,San Francisco,CA,United States,165,http://www.linkedin.com/company/zippin,2018,AI,298,26036500,1,"Machine Learning, Retail Technology, Computer Vision, Deep Learning",,,,,$44M,44000000,https://www.growjo.com/company/Zippin,https://www.indeed.com/jobs?q=company%3A(Zippin),0.41
Vic.ai,vic.ai,New York,NY,United States,105,http://www.linkedin.com/company/vic.ai,2016,AI,254,15400000,1,,,,,,$62.7M,62700000,https://www.growjo.com/company/Vic.ai,https://www.indeed.com/jobs?q=company%3A(Vic.ai),0.4
Intelligo Group,intelligo.ai,New York,NY,United States,89,http://www.linkedin.com/company/intelligo-group,2014,AI,258,13020000,1,,,,,,$44.1M,44100000,https://www.growjo.com/company/Intelligo_Group,https://www.indeed.com/jobs?q=company%3A(Intelligo Group),0.39
Klue,klue.com,Vancouver,BC,CAN,242,http://www.linkedin.com/company/klue,2015,AI,13,38227000,1,saas,,,,,$367M,367000000,https://www.growjo.com/company/Klue,https://www.indeed.com/jobs?q=company%3A(Klue),0.39
Zoba,zoba.com,Boston,MA,United States,58,http://www.linkedin.com/company/zoba,2016,AI,107,7429800,1,"Machine Learning, Mobility",,,,,$15.5M,15500000,https://www.growjo.com/company/Zoba,https://www.indeed.com/jobs?q=company%3A(Zoba),1
Lexion,lexion.ai,Seattle,WA,United States,65,http://www.linkedin.com/company/lexion-ai,,AI,54,8282400,1,,,,,,$15.2M,15200000,https://www.growjo.com/company/Lexion,https://www.indeed.com/jobs?q=company%3A(Lexion),0.33
PlusAI,plus.ai,Cupertino,CA,United States,271,http://www.linkedin.com/company/plusai,2016,AI,181,42892500,1,"Artificial Intelligence, Logistics, Hybrid Vehicles",,,,,$520M,520000000,https://www.growjo.com/company/PlusAI,https://www.indeed.com/jobs?q=company%3A(PlusAI),0.32
Runway,runwayml.com,New York,NY,United States,62,http://www.linkedin.com/company/runwayml,2018,AI,280,8316000,1,,,,,,,,https://www.growjo.com/company/Runway,https://www.indeed.com/jobs?q=company%3A(Runway),1.14
SenseHawk,sensehawk.com,Saratoga,CA,United States,98,http://www.linkedin.com/company/sensehawk,2016,AI,338,14420000,5,saas,,,,,$7.1M,7100000,https://www.growjo.com/company/SenseHawk,https://www.indeed.com/jobs?q=company%3A(SenseHawk),0.24
SKAEL,skael.com,San Francisco,CA,United States,72,http://www.linkedin.com/company/skael-inc.,2017,AI,343,10640000,1,,,,,,$42.1M,42100000,https://www.growjo.com/company/SKAEL,https://www.indeed.com/jobs?q=company%3A(SKAEL),0.26
ConverseNow.AI,conversenow.ai,Austin,TX,United States,83,http://www.linkedin.com/company/conversenow-ai,2018,AI,45,12180000,18,"AI, artificial intelligence, voice AI, technology, QSR, Restaurant Automation, Natural Language Processing, NLP","CRAFT Ventures, Live Oak Ventures, 2048 Ventures, Bridge Investments, Tensility Ventures, Moneta Ventures, Knoll Ventures, Bala Investments",,,,$18.3M,18300000,https://www.growjo.com/company/ConverseNow.AI,https://www.indeed.com/jobs?q=company%3A(ConverseNow.AI),0.06
Papercup,papercup.com,London,,UK,118,http://www.linkedin.com/company/papercup-ai,2017,AI,501,17360000,1,"Digital Media, Machine Learning, Artificial Intelligence",,,,,£10M,#VALUE! (Function MULTIPLY parameter 1 expects number values. But '£10' is a text and cannot be coerced to a number.),https://www.growjo.com/company/Papercup,https://www.indeed.com/jobs?q=company%3A(Papercup),0.26
Determined AI,determined.ai,San Francisco,CA,United States,46,http://www.linkedin.com/company/determined-ai,2017,AI,354,5107200,1,,,,,,$13.6M,13600000,https://www.growjo.com/company/Determined_AI,https://www.indeed.com/jobs?q=company%3A(Determined AI),1.71
Robust Intelligence,robustintelligence.com,San Francisco,CA,United States,62,http://www.linkedin.com/company/robust-intelligence,2019,AI,365,8316000,1,,,,,,,,https://www.growjo.com/company/Robust_Intelligence,https://www.indeed.com/jobs?q=company%3A(Robust Intelligence),0.22
Robin AI,robinai.co.uk,London,,UK,83,http://www.linkedin.com/company/robinai,2019,AI,77,12460000,1,,,,,,,,https://www.growjo.com/company/Robin_AI,https://www.indeed.com/jobs?q=company%3A(Robin AI),1.08
Fundraise Up,fundraiseup.com,Brooklyn,NY,United States,91,http://www.linkedin.com/company/fundraiseup,2017,AI,306,13440000,1,"B2B, Payments, Nonprofits, Donations",,,,,$12.1M,12100000,https://www.growjo.com/company/Fundraise_Up,https://www.indeed.com/jobs?q=company%3A(Fundraise Up),0.21
Redis Labs,redislabs.com,Mountain View,CA,United States,876,http://www.linkedin.com/company/redis-labs-inc,2011,AI,202,184184000,144,"Data Storage,Information Security,Network / Hosting / Infrastructure,Security,Software Development,Storage saas",Francisco Partners,,B2B,2000000000,$356.8M,356800000,https://www.growjo.com/company/Redis_Labs,https://www.indeed.com/jobs?q=company%3A(Redis Labs),0.17
Sight Machine,sightmachine.com,San Francisco,CA,United States,75,http://www.linkedin.com/company/sight-machine,2011,AI,379,11060000,2,"SaaS,Analytics,Automotive,Cleantech,Hardware,Hardware Peripherals,Marketing,Marketing Analytics,Wind Power",,,B2B,,$80.4M,80400000,https://www.growjo.com/company/Sight_Machine,https://www.indeed.com/jobs?q=company%3A(Sight Machine),0.17
Peak Power,peakpowerenergy.com,Toronto,ON,CAN,67,http://www.linkedin.com/company/peak-power-inc,2015,AI,45,8526000,1,,,,,,$25.8M,25800000,https://www.growjo.com/company/Peak_Power,https://www.indeed.com/jobs?q=company%3A(Peak Power),0.16
VISO Trust,visotrust.com,San Francisco,CA,United States,45,http://www.linkedin.com/company/visotrust,2016,AI,388,5376000,1,,,,,,,,https://www.growjo.com/company/VISO_Trust,https://www.indeed.com/jobs?q=company%3A(VISO Trust),0.73
Evinced,evinced.com,Los Altos,CA,United States,55,http://www.linkedin.com/company/evinced,,AI,209,7434000,1,,,,,,,,https://www.growjo.com/company/Evinced,https://www.indeed.com/jobs?q=company%3A(Evinced),0.72
RelationalAI,relational.ai,Berkeley,CA,United States,161,http://www.linkedin.com/company/relationalai,2017,AI,51,26488000,1,SaaS,,,,,,,https://www.growjo.com/company/RelationalAI,https://www.indeed.com/jobs?q=company%3A(RelationalAI),0.42
UserLeap,userleap.com,San Francisco,CA,United States,93,http://www.linkedin.com/company/userleap,2018,AI,394,13720000,1,saas,,,,,$58M,58000000,https://www.growjo.com/company/UserLeap,https://www.indeed.com/jobs?q=company%3A(UserLeap),0.13
Clovers,clovers.ai,Nashville,TN,USA,39,http://www.linkedin.com/company/clovers-ai,,AI,595,4704000,1,,,,,,,,https://www.growjo.com/company/Clovers,https://www.indeed.com/jobs?q=company%3A(Clovers),0.7
Espressive,espressive.com,Santa Clara,CA,United States,116,http://www.linkedin.com/company/espressive,2017,AI,219,17080000,2,saas,"General Catalyst Partners, Wing Venture Capital",,,,$53M,53000000,https://www.growjo.com/company/Espressive,https://www.indeed.com/jobs?q=company%3A(Espressive),0.1
retrain.ai,retrain.ai,New York,NY,United States,69,http://www.linkedin.com/company/retrain-ai,2020,AI,343,8769600,1,,,,,,$20M,20000000,https://www.growjo.com/company/retrain.ai,https://www.indeed.com/jobs?q=company%3A(retrain.ai),0.1
Synthesia,synthesia.io,London,,UK,150,http://www.linkedin.com/company/synthesia-technologies,2017,AI,92,24794000,1,,,,,,,,https://www.growjo.com/company/Synthesia,https://www.indeed.com/jobs?q=company%3A(Synthesia),0.95
Tethr,tethr.com,Austin,TX,United States,62,http://www.linkedin.com/company/wearetethr,2012,AI,54,7917000,1,,,,,,$51.2M,51200000,https://www.growjo.com/company/Tethr,https://www.indeed.com/jobs?q=company%3A(Tethr),0.07
