dt,bend_num_nft_liq,nftfi_num_nft_liq,pine_num_nft_liq,arcade_num_nft_liq,jpegd_num_nft_liq,drops_num_nft_liq,x2y2_num_nft_liq,total_liq,bend_cumu_nft_liq,nftfi_cumu_nft_liq,pine_cumu_nft_liq,arcade_cumu_nft_liq,jpegd_cumu_nft_liq,drops_cumu_nft_liq,x2y2_cumu_nft_liq
2022-12-21 00:00,0,47,0,0,0,0,0,47,163,4721,71,34,5,19,116
2022-12-20 00:00,0,0,0,1,0,0,0,1,163,4615,71,34,5,19,116
2022-12-20 00:00,0,59,0,0,0,0,0,59,163,4674,71,34,5,19,116
2022-12-20 00:00,0,0,0,0,0,0,4,4,163,4615,71,33,5,19,116
2022-12-19 00:00,0,0,0,0,0,0,2,2,163,4615,71,32,5,19,112
2022-12-19 00:00,0,0,0,1,0,0,0,1,163,4615,71,33,5,19,112
2022-12-19 00:00,0,59,0,0,0,0,0,59,163,4615,71,32,5,19,110
2022-12-18 00:00,0,40,0,0,0,0,0,40,163,4556,71,32,5,19,107
2022-12-18 00:00,0,0,0,0,0,0,3,3,163,4556,71,32,5,19,110
2022-12-17 00:00,0,37,0,0,0,0,0,37,163,4516,71,32,5,19,107
2022-12-16 00:00,0,74,0,0,0,0,0,74,163,4479,71,32,5,19,107
2022-12-16 00:00,0,0,0,0,0,1,0,1,163,4405,71,32,5,19,107
2022-12-16 00:00,0,0,0,0,0,0,2,2,163,4405,71,32,5,18,107
2022-12-15 00:00,0,44,0,0,0,0,0,44,163,4405,71,32,5,18,105
2022-12-15 00:00,0,0,0,1,0,0,0,1,163,4361,71,32,5,18,105
2022-12-15 00:00,0,0,0,0,0,0,2,2,163,4361,71,31,5,18,105
2022-12-14 00:00,0,0,0,0,0,0,2,2,163,4361,71,31,5,18,103
2022-12-14 00:00,0,41,0,0,0,0,0,41,163,4361,71,31,5,18,101
2022-12-13 00:00,0,38,0,0,0,0,0,38,163,4320,71,31,5,18,101
2022-12-12 00:00,0,57,0,0,0,0,0,57,163,4282,71,31,5,18,101
2022-12-11 00:00,0,48,0,0,0,0,0,48,163,4225,71,31,5,18,101
2022-12-10 00:00,0,0,0,1,0,0,0,1,163,4177,71,31,5,18,99
2022-12-10 00:00,0,0,0,0,0,0,2,2,163,4177,71,31,5,18,101
2022-12-10 00:00,0,56,0,0,0,0,0,56,163,4177,71,30,5,18,99
2022-12-09 00:00,0,0,0,1,0,0,0,1,163,4073,71,30,5,18,99
2022-12-09 00:00,0,48,0,0,0,0,0,48,163,4121,71,30,5,18,99
2022-12-09 00:00,0,0,0,0,0,0,1,1,163,4073,71,29,5,18,99
2022-12-08 00:00,0,0,0,0,0,0,5,5,163,4073,71,29,5,18,98
2022-12-08 00:00,0,37,0,0,0,0,0,37,163,4073,71,29,5,18,93
2022-12-07 00:00,0,57,0,0,0,0,0,57,163,4036,71,29,5,18,93
2022-12-07 00:00,0,0,0,0,0,0,2,2,163,3979,71,29,5,18,93
2022-12-06 00:00,0,0,0,0,0,0,8,8,163,3905,71,28,5,18,91
2022-12-06 00:00,0,0,0,1,0,0,0,1,163,3979,71,29,5,18,91
2022-12-06 00:00,0,74,0,0,0,0,0,74,163,3979,71,28,5,18,91
2022-12-05 00:00,0,63,0,0,0,0,0,63,163,3905,71,28,5,18,83
2022-12-05 00:00,0,0,0,0,0,0,5,5,163,3842,71,28,5,18,83
2022-12-04 00:00,0,0,0,0,0,0,5,5,163,3784,71,27,5,18,78
2022-12-04 00:00,0,0,0,1,0,0,0,1,163,3842,71,28,5,18,78
2022-12-04 00:00,0,58,0,0,0,0,0,58,163,3842,71,27,5,18,78
2022-12-03 00:00,0,27,0,0,0,0,0,27,163,3784,71,27,5,18,72
2022-12-03 00:00,0,0,0,0,0,0,1,1,163,3784,71,27,5,18,73
2022-12-02 00:00,0,43,0,0,0,0,0,43,163,3757,71,27,5,18,72
2022-12-01 00:00,0,51,0,0,0,0,0,51,163,3714,71,27,5,18,72
2022-11-30 00:00,0,68,0,0,0,0,0,68,163,3663,71,27,5,18,72
2022-11-29 00:00,0,0,0,0,0,0,1,1,163,3595,71,27,5,18,72
2022-11-29 00:00,0,67,0,0,0,0,0,67,163,3595,71,27,5,18,71
2022-11-28 00:00,0,52,0,0,0,0,0,52,163,3528,71,27,5,18,71
2022-11-27 00:00,0,66,0,0,0,0,0,66,163,3476,71,27,5,18,71
2022-11-26 00:00,0,0,0,0,0,0,1,1,163,3410,71,27,5,18,71
2022-11-26 00:00,0,37,0,0,0,0,0,37,163,3410,71,27,5,18,70
2022-11-25 00:00,0,65,0,0,0,0,0,65,163,3373,71,27,5,18,70
2022-11-25 00:00,0,0,0,0,0,0,4,4,163,3308,71,27,5,18,70
2022-11-24 00:00,0,73,0,0,0,0,0,73,163,3308,71,27,5,18,66
2022-11-23 00:00,0,0,0,0,0,0,1,1,163,3162,71,27,5,18,66
2022-11-23 00:00,0,73,0,0,0,0,0,73,163,3235,71,27,5,18,66
2022-11-22 00:00,0,0,0,0,0,0,2,2,163,3089,71,27,5,18,65
2022-11-22 00:00,0,73,0,0,0,0,0,73,163,3162,71,27,5,18,65
2022-11-21 00:00,0,0,0,0,0,0,1,1,163,3036,71,26,5,18,63
2022-11-21 00:00,0,53,0,0,0,0,0,53,163,3089,71,27,5,18,63
2022-11-21 00:00,0,0,0,1,0,0,0,1,163,3036,71,27,5,18,63
2022-11-20 00:00,0,0,0,1,0,0,0,1,163,3036,71,26,5,18,62
2022-11-20 00:00,0,40,0,0,0,0,0,40,163,3036,71,25,5,18,62
2022-11-19 00:00,0,0,0,0,0,0,3,3,163,2951,71,25,5,18,62
2022-11-19 00:00,0,45,0,0,0,0,0,45,163,2996,71,25,5,18,62
